userName,email,password,phoneNumber,accountNumber,balance,currency,transactionAmount,transactionDate,transactionType,paymentMethodType,cardNumber,cardType,expirationDate,cvv,countryName,cardIssuer
Leon Watts,kimberly07@example.org,+&!5NEBsyw,+380731135170,GB21WVON750884550209,3550.96,USD,3612.46,2025-03-26 15:10:20,deposit,credit_card,30025411313597,DEBIT,11/26,733,Iran,countryName
Crystal Dixon,morganlauren@example.net,n%A$3Wvdbh,+380991438051,GB47XMEO012714300432,4446.5,EUR,2842.96,2025-02-25 15:14:00,transfer,debit_card,376633079503888,PREPARED,03/29,931,United States of America,countryName
Mary Garcia,ralvarez@example.org,%3SwBTHu2J,+380966096423,GB68HORK132260837626,1491.56,UAH,4790.77,2025-01-01 02:33:44,withdrawal,credit_card,373110390182679,CREDIT,11/26,661,United Kingdom,countryName
Kathryn Durham,gdiaz@example.org,)2GYhk(IFh,+380983821750,GB29LHKV482862301301,4228.65,USD,1991.93,2025-02-03 19:42:57,withdrawal,bank_transfer,30159897837322,DEBIT,06/26,520,Faroe Islands,countryName
Shawna Brown,garciaashley@example.net,%Y6_JueADo,+380934014676,GB42VPGT565770428465,4897.62,EUR,3348.0,2025-02-09 23:15:41,withdrawal,bank_transfer,2299878379764082,PREPARED,02/29,984,Singapore,countryName
Patrick Moore,wschmidt@example.org,K9gvQAbw*1,+380962683799,GB92WLAD577947692421,3543.78,EUR,440.58,2025-01-10 20:24:00,transfer,credit_card,2711341204696482,PREPARED,03/28,750,Congo,countryName
Connor Payne,jlewis@example.org,o%9i2wLcAZ,+380677519406,GB58TSJE851969128725,7627.18,USD,1199.24,2025-03-28 02:00:48,withdrawal,bank_transfer,372763724431757,PREPARED,06/25,986,Cambodia,countryName
Victor Anderson,ynelson@example.com,@@m(a7rr4Q,+380971031779,GB07AIPE305444829281,8203.4,USD,3868.12,2025-03-11 15:33:02,transfer,debit_card,30067496156673,PREPARED,03/26,181,Puerto Rico,countryName
John Dalton,robertpalmer@example.com,(hZ)XHoux4,+380503840902,GB19INPO265636404788,3547.88,USD,2292.23,2025-03-31 22:46:37,withdrawal,credit_card,36747019890742,CREDIT,02/27,450,Egypt,countryName
Richard Cannon,josephdaniel@example.net,5_4qP2Xp5&,+380677804062,GB38KEFL108933432018,3680.85,UAH,3714.27,2025-03-04 16:06:20,deposit,bank_transfer,4680295512489134,CREDIT,10/28,221,Austria,countryName
