userName,email,password,phoneNumber,accountNumber,balance,currency,transactionAmount,transactionDate,transactionType,paymentMethodType,cardNumber,cardType,expirationDate,cvv,countryName,cardIssuer
Natalie Simon,george19@example.net,&SVTFJLj4l,+380737291242,GB13JWNU461522948355,4853.33,UAH,1858.06,2025-01-04 13:16:32,deposit,debit_card,3565378848746732,DEBIT,08/25,449,Liechtenstein,countryName
Ashley Jones,bgarcia@example.com,#V!D@kv*s7,+380677264953,GB66SJBK152406236273,6496.22,EUR,257.69,2025-03-02 21:38:54,withdrawal,debit_card,4746037945230970,PREPARED,10/25,221,Afghanistan,countryName
Timothy Cabrera,qlee@example.net,806&hKpq^p,+380685312877,GB40DCIG897089196718,7813.08,EUR,576.87,2025-02-14 03:22:36,deposit,debit_card,4556536974737564,CREDIT,05/26,999,Christmas Island,countryName
Andrew Miller,peter53@example.org,+MK1IKfvb^,+380738674408,GB40XUZH088622114486,3793.12,UAH,4439.29,2025-03-26 07:11:17,deposit,credit_card,630488518683,PREPARED,12/27,328,Cocos (Keeling) Islands,countryName
Sierra Gillespie,jasonanderson@example.com,#ERsou9j8y,+380632404293,GB81KYMG203301501196,180.16,EUR,144.96,2025-01-09 01:01:34,deposit,bank_transfer,2299486665482334,CREDIT,12/26,721,Montserrat,countryName
Johnny Morales,bateslindsey@example.org,$X4VJx*n&!,+380731088775,GB97SCPT115205543120,4035.34,USD,2388.56,2025-03-28 14:17:26,withdrawal,debit_card,4470378412945,DEBIT,01/29,673,Saint Helena,countryName
Garrett Maddox,rebekahwilcox@example.com,!X4iEKBr7^,+380633410781,GB20RHVL004455268643,2796.13,USD,655.4,2025-03-07 13:55:57,withdrawal,debit_card,2479647401142761,CREDIT,04/27,606,Barbados,countryName
Joanne Williams,bcoleman@example.net,*7Cw62PsDv,+380934761190,GB24QFGS659598044086,624.57,USD,432.78,2025-02-27 01:41:53,deposit,credit_card,4568277307539930898,PREPARED,08/25,863,Jordan,countryName
Colleen Guzman,edwardsalexander@example.org,Xh$0GTxaII,+380965910101,GB95BJEC456123502737,9852.82,USD,4531.56,2025-03-06 12:48:16,deposit,debit_card,3579388346143492,PREPARED,05/27,713,Costa Rica,countryName
Samantha Owens,wconway@example.org,+GNg3xGuO(,+380954501448,GB63WHWK358811610586,9095.29,UAH,2857.92,2025-03-20 12:07:40,withdrawal,bank_transfer,5322513064951835,DEBIT,04/27,561,Mauritius,countryName
Tara Greene,phillipsbrandon@example.com,w7MwQcjn%k,+380993156803,GB35UPBJ078203793919,7957.58,USD,887.93,2025-02-21 15:51:35,withdrawal,credit_card,2297407466420614,CREDIT,08/27,901,Belgium,countryName
Dawn Johnson,davidmorgan@example.com,@)*DluQSm6,+380672602697,GB22VJMZ871735780726,6131.1,USD,1765.47,2025-01-15 12:49:00,withdrawal,debit_card,4432763251006983800,PREPARED,06/28,964,French Polynesia,countryName
Nathaniel Martin,stacycollins@example.net,JhS^F_cF_8,+380964684609,GB80ETJA798910613972,7348.12,USD,599.7,2025-01-30 01:45:13,withdrawal,debit_card,4200617684057156489,DEBIT,03/28,133,Montenegro,countryName
Jean Robinson,christopher95@example.com,*(8P)n7)yf,+380936077613,GB87HBKF898084177530,2779.82,USD,2297.39,2025-01-18 18:23:31,deposit,debit_card,2720868841581056,PREPARED,05/27,170,Ireland,countryName
Jasmine Bradley,ginacampos@example.org,X&8LneE(2m,+380662351054,GB46KYJL888510462395,8706.23,USD,1357.05,2025-03-22 18:33:59,deposit,bank_transfer,3552970452823792,DEBIT,05/25,194,Kenya,countryName
Denise Shaffer,kelly48@example.com,DyTaYQIE(3,+380974949494,GB20MJKI065506683550,9317.09,USD,3369.65,2025-02-10 13:48:30,deposit,credit_card,180088873808528,PREPARED,03/28,418,Algeria,countryName
Brian Fisher,jesse49@example.com,0_NMKO9M)j,+380634281704,GB72NKEM166338656221,3123.5,USD,2039.58,2025-02-13 23:12:06,withdrawal,debit_card,4882105032673834,DEBIT,04/28,558,Comoros,countryName
Natalie Walton,christopherpeterson@example.net,*(4TsE8x86,+380982060165,GB12YQAW449517084290,9024.18,UAH,1981.29,2025-02-25 09:50:27,withdrawal,credit_card,377629659165386,PREPARED,01/26,724,North Macedonia,countryName
Joshua Rodriguez,colemantimothy@example.org,Z7gzAiwG(j,+380994826222,GB98LLYI464953772118,6005.87,EUR,1097.85,2025-01-25 22:12:28,deposit,debit_card,4945951668730900,PREPARED,05/25,228,United States of America,countryName
Robert Guerrero,joshuafranklin@example.net,q$2zXkWaEg,+380734868663,GB12MDDU009211170329,9511.56,USD,763.56,2025-03-22 06:55:19,withdrawal,debit_card,378108401207563,CREDIT,12/28,381,Norway,countryName
Daniel Stephens,tanyadouglas@example.com,Np7D6nee^U,+380952177275,GB39ZUIA690684990560,1127.42,USD,47.18,2025-01-23 04:39:13,transfer,credit_card,4548507250821506,DEBIT,08/28,254,Netherlands,countryName
Thomas Bishop,louis60@example.org,)3b$7i)3Fl,+380509670818,GB40YNRS014766161459,6790.34,UAH,1406.41,2025-01-31 05:36:14,withdrawal,debit_card,675906585103,PREPARED,05/27,149,Niue,countryName
Jocelyn Morgan,pmiller@example.org,&a6q6QNz$8,+380637957952,GB37THDU152117275831,7047.56,EUR,3994.68,2025-03-28 11:47:48,deposit,credit_card,3548286647694262,PREPARED,01/27,717,Aruba,countryName
Paul Mcclure,heatherdickerson@example.org,l4RO2SX@)t,+380975165592,GB18ABCS178031578888,6665.43,USD,2511.23,2025-02-05 03:02:47,transfer,credit_card,30581460328787,PREPARED,11/25,185,Bahrain,countryName
Erica Bowen,alexanderbeltran@example.com,B6PiS!l!_s,+380679147690,GB98VVIH768921990006,4800.28,USD,2162.21,2025-03-19 12:46:49,deposit,bank_transfer,6011313722564441,CREDIT,08/26,748,Falkland Islands (Malvinas),countryName
Lauren Washington,destiny77@example.com,zcaUO24k@9,+380688951259,GB71SMLB534828777945,8015.94,EUR,1328.28,2025-03-20 02:44:56,transfer,bank_transfer,30296717199028,PREPARED,06/25,173,Estonia,countryName
Emma Carpenter,butlertimothy@example.com,%1AJ9cj$$D,+380668890278,GB59RTYR416141743415,4711.94,EUR,4910.87,2025-01-07 00:28:01,deposit,credit_card,3539090266324248,CREDIT,10/27,632,Turks and Caicos Islands,countryName
Andrea Lopez,mortondavid@example.net,6@nB3$MfbG,+380668094704,GB63QALZ507500349241,7001.86,EUR,3490.87,2025-01-07 18:35:26,transfer,bank_transfer,4843241779270,DEBIT,11/28,791,Israel,countryName
Katie Jones,kayla79@example.com,Z!Z6OrdHM0,+380502295805,GB23RMQD435524572000,4265.36,USD,3930.75,2025-03-26 03:58:39,deposit,credit_card,180031532264659,PREPARED,11/26,131,Zimbabwe,countryName
Raymond Hall,wpeterson@example.org,jn(0LHe*k%,+380951449469,GB36KAPB811133978379,6308.48,EUR,2435.72,2025-02-07 06:53:17,deposit,bank_transfer,4279236951360,CREDIT,02/28,100,Mayotte,countryName
Kelly Mccarthy,jessica37@example.org,&o1e&dPq*5,+380985733874,GB30RCAA247639562730,9317.34,USD,2916.64,2025-01-26 10:03:02,deposit,debit_card,502055244920,DEBIT,07/27,709,Tajikistan,countryName
Brett Roman,josephmendoza@example.org,%h0Mg@iq&$,+380735382287,GB78LYUQ981547839180,8103.6,USD,360.74,2025-01-15 08:20:23,withdrawal,bank_transfer,4379270721211385,PREPARED,06/25,782,Saint Lucia,countryName
Luis Gross,smithderrick@example.net,9(!8Y7oOkr,+380991748838,GB22LNGV697153592727,3539.98,UAH,71.7,2025-03-09 07:40:01,withdrawal,debit_card,5554598098369608,PREPARED,09/26,944,Iran,countryName
Stephanie Kelly,michael01@example.org,xSJ*tH0N*7,+380685621824,GB12YLQN763307901107,4572.63,UAH,4332.18,2025-01-27 05:29:29,withdrawal,debit_card,4553521535033,PREPARED,03/29,888,Netherlands,countryName
Jonathan Mitchell,antonio74@example.com,1_9JVi&!fF,+380933798034,GB09QMGM974614727775,6861.21,UAH,3375.7,2025-01-10 21:16:41,withdrawal,debit_card,371134656933742,CREDIT,08/28,203,Bulgaria,countryName
Erik York,richardjones@example.net,D7VYipjh#T,+380509710177,GB30NHAD308505078660,6529.62,UAH,3456.04,2025-03-15 16:47:31,transfer,debit_card,2597787983550465,DEBIT,10/27,789,North Macedonia,countryName
Heidi Hernandez,dennis48@example.net,l2xRRHoN%5,+380984780243,GB16CYRL616875700313,5029.17,EUR,4694.69,2025-03-10 10:23:01,withdrawal,debit_card,344575422858585,DEBIT,09/28,159,Palau,countryName
William Parks,patricia06@example.net,X&6UmWuOvU,+380508870917,GB53POLY258134489673,5876.35,UAH,931.78,2025-01-03 07:36:35,withdrawal,bank_transfer,6545537157351362,DEBIT,01/26,611,Turkey,countryName
Linda Smith,carteramy@example.com,I)f^7IlSA9,+380974566456,GB12LXNN276585974281,9728.49,USD,187.18,2025-03-28 08:10:51,deposit,bank_transfer,4507050524781692403,PREPARED,06/28,716,Christmas Island,countryName
William Cox,cynthiachapman@example.net,h)0GBauq$V,+380637703316,GB65CZKB941975679959,2930.05,USD,4624.71,2025-03-14 07:28:14,transfer,bank_transfer,2660530326985572,CREDIT,03/27,839,Bahrain,countryName
Ernest Hunt,brenda67@example.net,@DfkCn%Y)4,+380933942347,GB53SXLD025505379428,4950.02,EUR,20.99,2025-01-12 13:47:26,withdrawal,debit_card,503831577005,DEBIT,04/25,327,Venezuela,countryName
Stephen Snow,lsullivan@example.org,n3O(G%rt_k,+380997011203,GB15RPGK867809878212,9530.97,UAH,1872.0,2025-02-13 10:00:21,withdrawal,credit_card,213157068693507,CREDIT,06/25,559,Belize,countryName
Christine Melendez,juansmith@example.com,(5To2rk_%Q,+380974516419,GB37DUKN541434200282,157.54,USD,4683.99,2025-01-14 21:51:56,transfer,credit_card,4262092010494815,PREPARED,12/26,616,Ireland,countryName
Stephanie Livingston,mooretracey@example.org,X#M0JTGcw(,+380961698103,GB53WNAB354862021059,6532.48,UAH,1180.99,2025-03-24 13:08:54,transfer,debit_card,6011237489673048,DEBIT,09/25,415,Japan,countryName
